title,publication_date,citations,date,year,month,field,subfield,topics,main_writer,all_writers,author_ids
Comparison between different neoadjuvant chemotherapy regimens and local therapy alone for bladder cancer: a systematic review and network meta-analysis of oncologic outcomes,2023-06-22,0,2023-06-22,2023,6,Medicine,Surgery,"['Bladder and Urothelial Cancer Treatments', 'Urinary and Genital Oncology Studies', 'Urological Disorders and Treatments']",Pierre I. Karakiewicz,"['Pierre I. Karakiewicz', 'Shahrokh F. Shariat']","['https://openalex.org/A5102984401', 'https://openalex.org/A5079401169']"
Overview of hard carbon anode for sodium-ion batteries: Influencing factors and strategies to extend slope and plateau regions,2024-06-15,0,2024-06-15,2024,6,Engineering,Electrical and Electronic Engineering,"['Advancements in Battery Materials', 'Advanced Battery Technologies Research', 'Advanced Battery Materials and Technologies']",Hao Zhang,"['Hao Zhang', 'Mauricio Terrones']","['https://openalex.org/A5100396887', 'https://openalex.org/A5069865883']"
Measurement of the charge asymmetry in top-quark pair production in association with a photon with the ATLAS experiment,2023-06-20,0,2023-06-20,2023,6,Physics and Astronomy,Nuclear and High Energy Physics,"['Particle physics theoretical and experimental studies', 'High-Energy Particle Collisions Research', 'Particle Detector Development and Performance']",G. Aad,"['G. Aad', 'B. Abbott', 'D. C. Abbott', 'K. Abeling', 'S. H. Abidi', 'A. Aboulhorma', 'H. Abramowicz', 'H. Abreu', 'Y. Abulaiti', 'A. C. Abusleme Hoffman', 'B. S. Acharya', 'B. Achkar', 'C. Adam Bourdarios', 'L. Adamczyk', 'L. Adámek', 'S. V. Addepalli', 'J. Adelman', 'A. Adıgüzel', 'S. Adorni', 'T. Adye', 'A. A. Affolder', 'Y. Afik', 'M. N. Agaras', 'J. Agarwala', 'A. Aggarwal', 'C. Agheorghiesei', 'J. A. Aguilar–Saavedra', 'A. Ahmad', 'F. Ahmadov', 'W. S. Ahmed', 'S. Ahuja', 'X. Ai', 'G. Aielli', 'I. Aizenberg', 'M. Akbiyik', 'T. P. A. Åkesson', 'A. V. Akimov', 'K. Al Khoury', 'G. L. Alberghi', 'J. Albert', 'P. Albicocco', 'S. Alderweireldt', 'M. Aleksa', 'I. N. Aleksandrov', 'C. Alexa', 'T. Alexopoulos', 'A. Alfonsi', 'F. Alfonsi', 'M. Alhroob', 'B. Ali', 'S. Ali', 'M. Aliev', 'G. Alimonti', 'W. Alkakhi', 'C. Allaire', 'B. M. M. Allbrooke', 'P. P. Allport', 'A. Aloisio', 'F. Alonso', 'C. Alpigiani', 'M. Alvarez Estevez', 'M. G. Alviggi', 'M. Aly', 'Y. Amaral Coutinho', 'A. Ambler', 'C. Amelung', 'M. Amerl', 'C. G. Ames', 'D. Amidei', 'S. P. Amor Dos Santos', 'S. Amoroso', 'K. R. Amos', 'V. Ananiev', 'C. Anastopoulos', 'T. Andeen', 'J. K. Anders', 'S. Y. Andrean', 'A. Andreazza', 'S. Angelidakis', 'A. Angerami', 'A. V. Anisenkov', 'A. Annovi', 'C. Antel', 'M. T. Anthony', 'E. Antipov', 'M. Antonelli', 'D. J. A. Antrim', 'F. Anulli', 'M. Aoki', 'T. Aoki', 'J. A. Aparisi Pozo', 'M. A. Aparo', 'L. Aperio Bella', 'C. Appelt', 'N. Aranzabal', 'V. Araujo Ferraz', 'C. Arcangeletti', 'A. T. H. Arce', 'E. Arena']","['https://openalex.org/A5100769897', 'https://openalex.org/A5007910787', 'https://openalex.org/A5088025642', 'https://openalex.org/A5064796035', 'https://openalex.org/A5081304813', 'https://openalex.org/A5048069343', 'https://openalex.org/A5065829244', 'https://openalex.org/A5039017444', 'https://openalex.org/A5056156632', 'https://openalex.org/A5056881719', 'https://openalex.org/A5042807344', 'https://openalex.org/A5040311946', 'https://openalex.org/A5104254091', 'https://openalex.org/A5074276926', 'https://openalex.org/A5015022419', 'https://openalex.org/A5105666059', 'https://openalex.org/A5078660500', 'https://openalex.org/A5114377290', 'https://openalex.org/A5109582203', 'https://openalex.org/A5100768678', 'https://openalex.org/A5045413701', 'https://openalex.org/A5105825000', 'https://openalex.org/A5005193029', 'https://openalex.org/A5030779627', 'https://openalex.org/A5012115945', 'https://openalex.org/A5024118373', 'https://openalex.org/A5046527339', 'https://openalex.org/A5107982720', 'https://openalex.org/A5073765864', 'https://openalex.org/A5115597944', 'https://openalex.org/A5100650359', 'https://openalex.org/A5060565403', 'https://openalex.org/A5002010790', 'https://openalex.org/A5089593219', 'https://openalex.org/A5006094843', 'https://openalex.org/A5031324575', 'https://openalex.org/A5103565141', 'https://openalex.org/A5101523329', 'https://openalex.org/A5014996362', 'https://openalex.org/A5017266796', 'https://openalex.org/A5059417991', 'https://openalex.org/A5011128192', 'https://openalex.org/A5005738114', 'https://openalex.org/A5112734065', 'https://openalex.org/A5008305230', 'https://openalex.org/A5114374300', 'https://openalex.org/A5038444370', 'https://openalex.org/A5105511946', 'https://openalex.org/A5086139830', 'https://openalex.org/A5100699993', 'https://openalex.org/A5108024572', 'https://openalex.org/A5115589825', 'https://openalex.org/A5083325612', 'https://openalex.org/A5047552261', 'https://openalex.org/A5083062440', 'https://openalex.org/A5103582138', 'https://openalex.org/A5038487413', 'https://openalex.org/A5057778512', 'https://openalex.org/A5101793588', 'https://openalex.org/A5063988052', 'https://openalex.org/A5057997973', 'https://openalex.org/A5015333172', 'https://openalex.org/A5101523345', 'https://openalex.org/A5027865003', 'https://openalex.org/A5006755561', 'https://openalex.org/A5107867063', 'https://openalex.org/A5085354197', 'https://openalex.org/A5080082167', 'https://openalex.org/A5016990122', 'https://openalex.org/A5107270555', 'https://openalex.org/A5021105103', 'https://openalex.org/A5061054027', 'https://openalex.org/A5066123467', 'https://openalex.org/A5015712551', 'https://openalex.org/A5085290420', 'https://openalex.org/A5076075206', 'https://openalex.org/A5100763899', 'https://openalex.org/A5114378157', 'https://openalex.org/A5048068302', 'https://openalex.org/A5087519538', 'https://openalex.org/A5081964174', 'https://openalex.org/A5084903242', 'https://openalex.org/A5101979585', 'https://openalex.org/A5114378334', 'https://openalex.org/A5072261571', 'https://openalex.org/A5086529368', 'https://openalex.org/A5055773003', 'https://openalex.org/A5100712204', 'https://openalex.org/A5029453627', 'https://openalex.org/A5107940746', 'https://openalex.org/A5105230204', 'https://openalex.org/A5056301846', 'https://openalex.org/A5107171942', 'https://openalex.org/A5052568652', 'https://openalex.org/A5107462876', 'https://openalex.org/A5068312655', 'https://openalex.org/A5114643395', 'https://openalex.org/A5077896552', 'https://openalex.org/A5014370891']"
"Effects of intensive lifestyle changes on the progression of mild cognitive impairment or early dementia due to Alzheimer’s disease: a randomized, controlled clinical trial",2024-06-07,0,2024-06-07,2024,6,Medicine,Psychiatry and Mental health,"['Dementia and Cognitive Impairment Research', ""Alzheimer's disease research and treatments"", 'Neurological Disorders and Treatments']",Douglas Galasko,"['Douglas Galasko', 'Rob Knight', 'Rudolph E. Tanzi']","['https://openalex.org/A5113533735', 'https://openalex.org/A5033881627', 'https://openalex.org/A5050004777']"
Modular Functionalization of Metal‐Organic Frameworks for Nitrogen Recovery from Fresh Urine**,2023-08-10,0,2023-08-10,2023,8,Engineering,Mechanical Engineering,"['Extraction and Separation Processes', 'Adsorption and biosorption for pollutant removal', 'Nanomaterials for catalytic reactions']",Lei Guo,"['Lei Guo', 'Yi Zhang', 'William A. Goddard']","['https://openalex.org/A5089880648', 'https://openalex.org/A5100676236', 'https://openalex.org/A5035627473']"
Dissecting the Ability of Siglecs To Antagonize Fcγ Receptors,2024-01-17,0,2024-01-17,2024,1,Medicine,"Radiology, Nuclear Medicine and Imaging","['Monoclonal and Polyclonal Antibodies Research', 'Glycosylation and Glycoproteins Research', 'Galectins and Cancer Biology']",Chao Wang,"['Chao Wang', 'Peng Wu']","['https://openalex.org/A5027323871', 'https://openalex.org/A5090263634']"
"Adjuvant nivolumab, capecitabine or the combination in patients with residual triple-negative breast cancer: the OXEL randomized phase II study",2024-03-27,0,2024-03-27,2024,3,"Biochemistry, Genetics and Molecular Biology",Cancer Research,"['Breast Cancer Treatment Studies', 'Cancer Immunotherapy and Biomarkers', 'HER2/EGFR in Cancer Research']",Paolo Tarantino,"['Paolo Tarantino', 'Sara M. Tolaney']","['https://openalex.org/A5081854007', 'https://openalex.org/A5069056507']"
Salicylic acid inhibits rice endocytic protein trafficking mediated by <scp>OsPIN3t</scp> and clathrin to affect root growth,2023-04-07,0,2023-04-07,2023,4,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,"['Plant tissue culture and regeneration', 'Plant nutrient uptake and metabolism', 'Plant Reproductive Biology']",Xuan Zhou,"['Xuan Zhou', 'Jing Yang']","['https://openalex.org/A5009881958', 'https://openalex.org/A5056342992']"
An In Silico Multi-epitopes Vaccine Ensemble and Characterization Against Nosocomial Proteus penneri,2023-11-07,0,2023-11-07,2023,11,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,"['vaccines and immunoinformatics approaches', 'Pneumonia and Respiratory Infections', 'Biochemical and Structural Characterization']",Muhammad Irfan,"['Muhammad Irfan', 'Sajjad Ahmad']","['https://openalex.org/A5108020976', 'https://openalex.org/A5045550052']"
In-situ redispersion of Ni@C catalyst boosts 5-hydroxymethylfurfural electrooxidation by increasing Ni4+ sites,2024-06-04,0,2024-06-04,2024,6,Energy,"Renewable Energy, Sustainability and the Environment","['Electrocatalysts for Energy Conversion', 'Catalysis for Biomass Conversion', 'Supercapacitor Materials and Fabrication']",Qiang Li,"['Chen Shen', 'Qiang Li', 'Ying Xu']","['https://openalex.org/A5009352804', 'https://openalex.org/A5038951945', 'https://openalex.org/A5104345742']"
A Machine-learning Approach to Predict Missing Flux Densities in Multiband Galaxy Surveys,2023-01-01,0,2023-01-01,2023,1,Physics and Astronomy,Astronomy and Astrophysics,"['Galaxies: Formation, Evolution, Phenomena', 'Astronomy and Astrophysical Research', 'Stellar, planetary, and galactic studies']",Henry C. Ferguson,"['Henry C. Ferguson', 'John R. Weaver', 'Daniel Stern', 'Mark Dickinson', 'Anton M. Koekemoer', 'Mauro Giavalisco']","['https://openalex.org/A5042305541', 'https://openalex.org/A5048287383', 'https://openalex.org/A5030771447', 'https://openalex.org/A5074138403', 'https://openalex.org/A5043083140', 'https://openalex.org/A5004163126']"
"Combined PD-1, BRAF and MEK inhibition in BRAFV600E colorectal cancer: a phase 2 trial",2023-01-26,0,2023-01-26,2023,1,Medicine,Oncology,"['Colorectal Cancer Treatments and Studies', 'Cancer Genomics and Diagnostics', 'Cancer Immunotherapy and Biomarkers']",Jeffrey A. Meyerhardt,"['Jeffrey A. Meyerhardt', 'Gad Getz']","['https://openalex.org/A5027170448', 'https://openalex.org/A5001392592']"
"Recent increases in annual, seasonal, and extreme methane fluxes driven by changes in climate and vegetation in boreal and temperate wetland ecosystems",2024-01-01,0,2024-01-01,2024,1,Environmental Science,Ecology,"['Peatlands and Wetlands Ecology', 'Atmospheric and Environmental Gas Dynamics', 'Fire effects on ecosystems']",Zhen Zhang,"['Zhen Zhang', 'Benjamin Poulter']","['https://openalex.org/A5100390189', 'https://openalex.org/A5065467022']"
Increasing Text Filtering Accuracy with Improved LSTM,2023-01-01,0,2023-01-01,2023,1,Computer Science,Artificial Intelligence,"['Text and Document Classification Technologies', 'Advanced Text Analysis Techniques', 'Natural Language Processing Techniques']",Zhengtong Yin,"['Zhengtong Yin', 'Xuan Liu', 'Lirong Yin', 'Wenfeng Zheng']","['https://openalex.org/A5021201289', 'https://openalex.org/A5100362250', 'https://openalex.org/A5023971713', 'https://openalex.org/A5062384828']"
Three-Dimensional Crystalline Organic Framework Stabilized by Molecular Mortise-and-Tenon Jointing,2024-04-24,0,2024-04-24,2024,4,Materials Science,Materials Chemistry,"['Covalent Organic Framework Applications', 'Metal-Organic Frameworks: Synthesis and Applications', 'Luminescence and Fluorescent Materials']",Jonathan L. Sessler,"['Ming Liu', 'Jonathan L. Sessler']","['https://openalex.org/A5100347821', 'https://openalex.org/A5000215293']"
Design of Multicomponent Peptide Fibrils with Ordered and Programmable Compositional Patterns,2023-04-05,0,2023-04-05,2023,4,Materials Science,Biomaterials,"['Supramolecular Self-Assembly in Materials', 'Polydiacetylene-based materials and applications', 'Chemical Synthesis and Analysis']",Tao Jiang,"['Xin Chen', 'Tao Jiang']","['https://openalex.org/A5067882551', 'https://openalex.org/A5101998384']"
"Recent Advances on Lightweight High-Entropy Alloys: Process, Design, and Applications",2023-05-13,0,2023-05-13,2023,5,Engineering,Mechanical Engineering,"['High Entropy Alloys Studies', 'High-Temperature Coating Behaviors', 'Additive Manufacturing Materials and Processes']",Wei Xiong,"['Wei Xiong', 'Peter K. Liaw']","['https://openalex.org/A5009995339', 'https://openalex.org/A5027297848']"
First Measurement of Antideuteron Number Fluctuations at Energies Available at the Large Hadron Collider,2023-07-25,0,2023-07-25,2023,7,Physics and Astronomy,Nuclear and High Energy Physics,"['High-Energy Particle Collisions Research', 'Particle physics theoretical and experimental studies', 'Quantum Chromodynamics and Particle Interactions']",S. Acharya,"['S. Acharya', 'D. Adamová', 'G. Aglieri Rinella', 'M. Agnello', 'N. Agrawal', 'Z. Ahammed', 'Shakeel Ahmad', 'S. U. Ahn', 'I. Ahuja', 'A. Akindinov', 'M. Al-Turany', 'D. Aleksandrov', 'B. Alessandro', 'H. M. Alfanda', 'R. Alfaro Molina', 'Bushra Ali', 'A. Alici', 'N. Alizadehvandchali', 'A. Alkin', 'J. Alme', 'G. Alocco', 'T. Alt', 'I. Altsybeev', 'Mustafa Anaam', 'C. Andrei', 'A. Andronic', 'V. Anguelov', 'F. Antinori', 'P. Antonioli', 'N. Apadula', 'L. Aphecetche', 'H. Appelshäuser', 'S. Arcelli', 'R. Arnaldi', 'I. C. Arsene', 'M. Arslandok', 'A. Augustinus', 'R. Averbeck', 'M. D. Azmi', 'Angela Badalá', 'Y. W. Baek', 'X. Bai', 'R. Bailhache', 'Y. Bailung', 'A. Balbino', 'A. Baldisseri', 'Bartosz Baliś', 'D. Banerjee', 'Z. Banoo', 'R. Barbera', 'L. Barioglio', 'M. Barlou', 'G. G. Barnaföldi', 'L. S. Barnby', 'V. Barret', 'L. Barreto', 'C. Bartels', 'Klaus Barth', 'E. Bartsch', 'N. Bastid', 'S. Basu', 'G. Batigne', 'D. Battistini', 'B. Batyunya', 'D. Bauri', 'J. L. Bazo Alba', 'I. G. Bearden', 'C. Beattie', 'P. Becht', 'D. Behera', 'I. Belikov', 'A. D. C. Bell Hechavarria', 'R. Bellwied', 'S. Belokurova', 'V. Belyaev', 'G. Bencédi', 'S. Beolè', 'A. Bercuci', 'Y. Berdnikov', 'A. Berdnikova', 'Luisa Bergmann', 'Mihaela Gabriela Besoiu', 'L. Betev', 'Partha Pratim Bhaduri', 'A. Bhasin', 'M. A. Bhat', 'L. Bianchi', 'N. Bianchi', 'J. Bielčík', 'J. Bielčíková']","['https://openalex.org/A5108054771', 'https://openalex.org/A5083036333', 'https://openalex.org/A5037808514', 'https://openalex.org/A5009284329', 'https://openalex.org/A5002345019', 'https://openalex.org/A5089766982', 'https://openalex.org/A5014472904', 'https://openalex.org/A5064517740', 'https://openalex.org/A5037064434', 'https://openalex.org/A5021618538', 'https://openalex.org/A5039381354', 'https://openalex.org/A5104022009', 'https://openalex.org/A5053955394', 'https://openalex.org/A5014538763', 'https://openalex.org/A5109266196', 'https://openalex.org/A5009764782', 'https://openalex.org/A5074888621', 'https://openalex.org/A5081043155', 'https://openalex.org/A5084027313', 'https://openalex.org/A5108167475', 'https://openalex.org/A5086920101', 'https://openalex.org/A5017974378', 'https://openalex.org/A5008312199', 'https://openalex.org/A5002691468', 'https://openalex.org/A5007211783', 'https://openalex.org/A5009183570', 'https://openalex.org/A5047708342', 'https://openalex.org/A5024078483', 'https://openalex.org/A5100654743', 'https://openalex.org/A5047342242', 'https://openalex.org/A5080990761', 'https://openalex.org/A5053788395', 'https://openalex.org/A5007822432', 'https://openalex.org/A5074220397', 'https://openalex.org/A5104519189', 'https://openalex.org/A5014714737', 'https://openalex.org/A5007139850', 'https://openalex.org/A5056938795', 'https://openalex.org/A5034351672', 'https://openalex.org/A5042803430', 'https://openalex.org/A5007362871', 'https://openalex.org/A5079811578', 'https://openalex.org/A5087364519', 'https://openalex.org/A5040851175', 'https://openalex.org/A5025125678', 'https://openalex.org/A5077484580', 'https://openalex.org/A5045382990', 'https://openalex.org/A5108167123', 'https://openalex.org/A5014562173', 'https://openalex.org/A5018032283', 'https://openalex.org/A5108337096', 'https://openalex.org/A5114170927', 'https://openalex.org/A5108167498', 'https://openalex.org/A5039072322', 'https://openalex.org/A5112965898', 'https://openalex.org/A5086590810', 'https://openalex.org/A5086548547', 'https://openalex.org/A5000071032', 'https://openalex.org/A5051565042', 'https://openalex.org/A5065658780', 'https://openalex.org/A5114375174', 'https://openalex.org/A5028722869', 'https://openalex.org/A5069543598', 'https://openalex.org/A5107884487', 'https://openalex.org/A5106852510', 'https://openalex.org/A5114374071', 'https://openalex.org/A5003109932', 'https://openalex.org/A5027891439', 'https://openalex.org/A5032188458', 'https://openalex.org/A5045501939', 'https://openalex.org/A5086986301', 'https://openalex.org/A5076938226', 'https://openalex.org/A5028517010', 'https://openalex.org/A5047965835', 'https://openalex.org/A5070029333', 'https://openalex.org/A5064106163', 'https://openalex.org/A5091736131', 'https://openalex.org/A5107864118', 'https://openalex.org/A5021639002', 'https://openalex.org/A5073148645', 'https://openalex.org/A5084078410', 'https://openalex.org/A5013344515', 'https://openalex.org/A5017954928', 'https://openalex.org/A5019877009', 'https://openalex.org/A5007835333', 'https://openalex.org/A5104832159', 'https://openalex.org/A5031361433', 'https://openalex.org/A5101887844', 'https://openalex.org/A5032589952', 'https://openalex.org/A5032997606']"
A Comprehensive Guide to Artificial Intelligence in Endoscopic Ultrasound,2023-05-30,0,2023-05-30,2023,5,Medicine,"Radiology, Nuclear Medicine and Imaging","['Radiomics and Machine Learning in Medical Imaging', 'Colorectal Cancer Screening and Detection', 'AI in cancer detection']",Antonio Facciorusso,"['Antonio Facciorusso', 'Cesare Hassan', 'Alessandro Repici']","['https://openalex.org/A5010071655', 'https://openalex.org/A5010158984', 'https://openalex.org/A5020927144']"
"Association Between Socioeconomic Factors, Race, and Use of a Specialty Memory Clinic",2023-08-02,0,2023-08-02,2023,8,Neuroscience,Cognitive Neuroscience,"['Memory Processes and Influences', 'Dementia and Cognitive Impairment Research', 'Identity, Memory, and Therapy']",Suzanne E. Schindler,"['Suzanne E. Schindler', 'John C. Morris']","['https://openalex.org/A5108149621', 'https://openalex.org/A5063630764']"
Effect of Four Hemoglobin Transfusion Threshold Strategies in Patients With Acute Myocardial Infarction and Anemia,2024-09-30,0,2024-09-30,2024,9,Medicine,Hematology,"['Erythropoietin and Anemia Treatment', 'Blood transfusion and management', 'Hemoglobinopathies and Related Disorders']",Philippe Gabríel Steg,"['Philippe Gabríel Steg', 'Renato D. Lópes']","['https://openalex.org/A5003831287', 'https://openalex.org/A5067237537']"
Long-term liver-related outcomes and liver stiffness progression of statin usage in steatotic liver disease,2024-08-01,0,2024-08-01,2024,8,Medicine,Epidemiology,"['Liver Disease Diagnosis and Treatment', 'Liver Diseases and Immunity', 'Hepatitis C virus research']",Arun J. Sanyal,"['Arun J. Sanyal', 'Vincent Wai‐Sun Wong']","['https://openalex.org/A5106513007', 'https://openalex.org/A5101716089']"
Influence of Interlayer Cation Ordering on Na Transport in P2-Type Na<sub>0.67–<i>x</i></sub>Li<sub><i>y</i></sub> Ni<sub>0.33–<i>z</i></sub>Mn<sub>0.67+<i>z</i></sub>O<sub>2</sub> for Sodium-Ion Batteries,2024-05-02,0,2024-05-02,2024,5,Engineering,Electrical and Electronic Engineering,"['Advancements in Battery Materials', 'Advanced Battery Materials and Technologies', 'Semiconductor materials and interfaces']",Jue Liu,"['Jue Liu', 'Cheng Li']","['https://openalex.org/A5100702265', 'https://openalex.org/A5100354261']"
Fifth Edition of the World Health Classification of Tumors of the Hematopoietic and Lymphoid Tissue: Myeloid Neoplasms,2023-12-01,0,2023-12-01,2023,12,Medicine,Hematology,"['Acute Myeloid Leukemia Research', 'Myeloproliferative Neoplasms: Diagnosis and Treatment', 'Lymphoma Diagnosis and Treatment']",Sanam Loghavi,"['Sanam Loghavi', 'Mrinal M. Patnaik']","['https://openalex.org/A5056317446', 'https://openalex.org/A5072463255']"
A simple hydrothermal synthesis of an oxygen vacancy-rich MnMoO<sub>4</sub> rod-like material and its highly efficient electrocatalytic nitrogen reduction,2023-01-01,0,2023-01-01,2023,1,Chemical Engineering,Catalysis,"['Ammonia Synthesis and Nitrogen Reduction', 'Advanced Photocatalysis Techniques', 'Catalytic Processes in Materials Science']",Wei Zhang,"['Wei Zhang', 'Jin Li', 'Wei Xiong', 'Hao Li']","['https://openalex.org/A5107940703', 'https://openalex.org/A5100638643', 'https://openalex.org/A5036346400', 'https://openalex.org/A5100348631']"
"Alpelisib + endocrine therapy in patients with <i>PIK3CA</i>-mutated, hormone receptor–positive, human epidermal growth factor receptor 2–negative, advanced breast cancer: Analysis of all 3 cohorts of the BYLieve study.",2023-06-01,0,2023-06-01,2023,6,Medicine,Pulmonary and Respiratory Medicine,"['Advanced Breast Cancer Therapies', 'Cancer Treatment and Pharmacology', 'HER2/EGFR in Cancer Research']",Aleix Prat,"['Aleix Prat', 'Dejan Juric', 'Hope S. Rugo']","['https://openalex.org/A5089513581', 'https://openalex.org/A5087308492', 'https://openalex.org/A5090188675']"
MMST-ViT: Climate Change-aware Crop Yield Prediction via Multi-Modal Spatial-Temporal Vision Transformer,2023-10-01,0,2023-10-01,2023,10,Environmental Science,Ecology,"['Remote Sensing in Agriculture', 'Smart Agriculture and AI', 'Urban Heat Island Mitigation']",Yan Chen,"['Yan Chen', 'Li Chen', 'Xiangming Xiao']","['https://openalex.org/A5102650257', 'https://openalex.org/A5100379221', 'https://openalex.org/A5113355995']"
Scalable High‐Permittivity Polyimide Copolymer with Ultrahigh High‐Temperature Capacitive Performance Enabled by Molecular Engineering,2023-12-31,0,2023-12-31,2023,12,Engineering,Biomedical Engineering,"['Dielectric materials and actuators', 'Ferroelectric and Piezoelectric Materials', 'Advanced Sensor and Energy Harvesting Materials']",Qing Wang,"['Li Li', 'Qing Wang', 'Hong Wang']","['https://openalex.org/A5100361205', 'https://openalex.org/A5100434847', 'https://openalex.org/A5100370867']"
Steric‐hindrance Effect Tuned Ion Solvation Enabling High Performance Aqueous Zinc Ion Batteries,2024-03-12,0,2024-03-12,2024,3,Engineering,Electrical and Electronic Engineering,"['Advanced battery technologies research', 'Advanced Battery Materials and Technologies', 'Electrocatalysts for Energy Conversion']",Xin Wang,"['Dan Luo', 'Xin Wang']","['https://openalex.org/A5011869558', 'https://openalex.org/A5100327956']"
